GrLivArea,OverallQual,1stFlrSF,TotalBsmtSF,GarageArea,2ndFlrSF,LotArea,ExterQual_3,YearBuilt,KitchenQual_3,GarageYrBlt,ExterQual_2,YearRemodAdd,TotRmsAbvGrd,BsmtFinSF1,GarageCars,OpenPorchSF,FullBath,BsmtUnfSF,MasVnrArea,Price3Classes
1710.0,7.0,856.0,856.0,548.0,854.0,8450.0,0.0,2003.0,0.0,2003.0,1.0,2003.0,8.0,706.0,2.0,61.0,2.0,150.0,196.0,"[200000,400000]"
1262.0,6.0,1262.0,1262.0,460.0,0.0,9600.0,1.0,1976.0,1.0,1976.0,0.0,1976.0,6.0,978.0,2.0,0.0,2.0,284.0,0.0,<200000
1786.0,7.0,920.0,920.0,608.0,866.0,11250.0,0.0,2001.0,0.0,2001.0,1.0,2002.0,6.0,486.0,2.0,42.0,2.0,434.0,162.0,"[200000,400000]"
1717.0,7.0,961.0,756.0,642.0,756.0,9550.0,1.0,1915.0,0.0,1998.0,0.0,1970.0,7.0,216.0,3.0,35.0,1.0,540.0,0.0,<200000
2198.0,8.0,1145.0,1145.0,836.0,1053.0,14260.0,0.0,2000.0,0.0,2000.0,1.0,2000.0,9.0,655.0,3.0,84.0,2.0,490.0,350.0,"[200000,400000]"
1362.0,5.0,796.0,796.0,480.0,566.0,14115.0,1.0,1993.0,1.0,1993.0,0.0,1995.0,5.0,732.0,2.0,30.0,1.0,64.0,0.0,<200000
1694.0,8.0,1694.0,1686.0,636.0,0.0,10084.0,0.0,2004.0,0.0,2004.0,1.0,2005.0,7.0,1369.0,2.0,57.0,2.0,317.0,186.0,"[200000,400000]"
2090.0,7.0,1107.0,1107.0,484.0,983.0,10382.0,1.0,1973.0,1.0,1973.0,0.0,1973.0,7.0,859.0,2.0,204.0,2.0,216.0,240.0,"[200000,400000]"
1774.0,7.0,1022.0,952.0,468.0,752.0,6120.0,1.0,1931.0,1.0,1931.0,0.0,1950.0,8.0,0.0,2.0,0.0,2.0,952.0,0.0,<200000
1077.0,5.0,1077.0,991.0,205.0,0.0,7420.0,1.0,1939.0,1.0,1939.0,0.0,1950.0,5.0,851.0,1.0,4.0,1.0,140.0,0.0,<200000
1040.0,5.0,1040.0,1040.0,384.0,0.0,11200.0,1.0,1965.0,1.0,1965.0,0.0,1965.0,5.0,906.0,1.0,0.0,1.0,134.0,0.0,<200000
2324.0,9.0,1182.0,1175.0,736.0,1142.0,11924.0,0.0,2005.0,0.0,2005.0,0.0,2006.0,11.0,998.0,3.0,21.0,3.0,177.0,286.0,"[200000,400000]"
912.0,5.0,912.0,912.0,352.0,0.0,12968.0,1.0,1962.0,1.0,1962.0,0.0,1962.0,4.0,737.0,1.0,0.0,1.0,175.0,0.0,<200000
1494.0,7.0,1494.0,1494.0,840.0,0.0,10652.0,0.0,2006.0,0.0,2006.0,1.0,2007.0,7.0,0.0,3.0,33.0,2.0,1494.0,306.0,"[200000,400000]"
1253.0,6.0,1253.0,1253.0,352.0,0.0,10920.0,1.0,1960.0,1.0,1960.0,0.0,1960.0,5.0,733.0,1.0,213.0,1.0,520.0,212.0,<200000
854.0,7.0,854.0,832.0,576.0,0.0,6120.0,1.0,1929.0,1.0,1991.0,0.0,2001.0,5.0,0.0,2.0,112.0,1.0,832.0,0.0,<200000
1004.0,6.0,1004.0,1004.0,480.0,0.0,11241.0,1.0,1970.0,1.0,1970.0,0.0,1970.0,5.0,578.0,2.0,0.0,1.0,426.0,180.0,<200000
1296.0,4.0,1296.0,0.0,516.0,0.0,10791.0,1.0,1967.0,1.0,1967.0,0.0,1967.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,<200000
1114.0,5.0,1114.0,1114.0,576.0,0.0,13695.0,1.0,2004.0,0.0,2004.0,0.0,2004.0,6.0,646.0,2.0,102.0,1.0,468.0,0.0,<200000
1339.0,5.0,1339.0,1029.0,294.0,0.0,7560.0,1.0,1958.0,1.0,1958.0,0.0,1965.0,6.0,504.0,1.0,0.0,1.0,525.0,0.0,<200000
2376.0,8.0,1158.0,1158.0,853.0,1218.0,14215.0,0.0,2005.0,0.0,2005.0,1.0,2006.0,9.0,0.0,3.0,154.0,3.0,1158.0,380.0,"[200000,400000]"
1108.0,7.0,1108.0,637.0,280.0,0.0,7449.0,1.0,1930.0,0.0,1930.0,0.0,1950.0,6.0,0.0,1.0,0.0,1.0,637.0,0.0,<200000
1795.0,8.0,1795.0,1777.0,534.0,0.0,9742.0,0.0,2002.0,0.0,2002.0,1.0,2002.0,7.0,0.0,2.0,159.0,2.0,1777.0,281.0,"[200000,400000]"
1060.0,5.0,1060.0,1040.0,572.0,0.0,4224.0,1.0,1976.0,1.0,1976.0,0.0,1976.0,6.0,840.0,2.0,110.0,1.0,200.0,0.0,<200000
1060.0,5.0,1060.0,1060.0,270.0,0.0,8246.0,1.0,1968.0,0.0,1968.0,0.0,2001.0,6.0,188.0,1.0,90.0,1.0,204.0,0.0,<200000
1600.0,8.0,1600.0,1566.0,890.0,0.0,14230.0,0.0,2007.0,0.0,2007.0,1.0,2007.0,7.0,0.0,3.0,56.0,2.0,1566.0,640.0,"[200000,400000]"
900.0,5.0,900.0,900.0,576.0,0.0,7200.0,1.0,1951.0,0.0,2005.0,0.0,2000.0,5.0,234.0,2.0,32.0,1.0,180.0,0.0,<200000
1704.0,8.0,1704.0,1704.0,772.0,0.0,11478.0,0.0,2007.0,0.0,2008.0,1.0,2008.0,7.0,1218.0,3.0,50.0,2.0,486.0,200.0,"[200000,400000]"
1600.0,5.0,1600.0,1484.0,319.0,0.0,16321.0,1.0,1957.0,1.0,1957.0,0.0,1997.0,6.0,1277.0,1.0,258.0,1.0,207.0,0.0,"[200000,400000]"
520.0,4.0,520.0,520.0,240.0,0.0,6324.0,1.0,1927.0,0.0,1920.0,0.0,1950.0,4.0,0.0,1.0,0.0,1.0,520.0,0.0,<200000
1317.0,4.0,649.0,649.0,250.0,668.0,8500.0,1.0,1920.0,1.0,1920.0,0.0,1950.0,6.0,0.0,1.0,54.0,1.0,649.0,0.0,<200000
1228.0,5.0,1228.0,1228.0,271.0,0.0,8544.0,1.0,1966.0,0.0,1966.0,0.0,2006.0,6.0,0.0,1.0,65.0,1.0,1228.0,0.0,<200000
1234.0,8.0,1234.0,1234.0,484.0,0.0,11049.0,0.0,2007.0,0.0,2007.0,1.0,2007.0,7.0,0.0,2.0,30.0,2.0,1234.0,0.0,<200000
1700.0,5.0,1700.0,1398.0,447.0,0.0,10552.0,1.0,1959.0,0.0,1959.0,0.0,1959.0,6.0,1018.0,2.0,38.0,1.0,380.0,0.0,<200000
1561.0,9.0,1561.0,1561.0,556.0,0.0,7313.0,0.0,2005.0,0.0,2005.0,0.0,2005.0,6.0,1153.0,2.0,47.0,2.0,408.0,246.0,"[200000,400000]"
2452.0,8.0,1132.0,1117.0,691.0,1320.0,13418.0,0.0,2004.0,0.0,2004.0,1.0,2005.0,9.0,0.0,3.0,32.0,3.0,1117.0,132.0,"[200000,400000]"
1097.0,5.0,1097.0,1097.0,672.0,0.0,10859.0,1.0,1994.0,1.0,1995.0,0.0,1995.0,6.0,0.0,2.0,64.0,1.0,1097.0,0.0,<200000
1297.0,5.0,1297.0,1297.0,498.0,0.0,8532.0,1.0,1954.0,1.0,1954.0,0.0,1990.0,5.0,1213.0,2.0,0.0,1.0,84.0,650.0,<200000
1057.0,5.0,1057.0,1057.0,246.0,0.0,7922.0,1.0,1953.0,0.0,1953.0,0.0,2007.0,5.0,731.0,1.0,52.0,1.0,326.0,0.0,<200000
1152.0,4.0,1152.0,0.0,0.0,0.0,6040.0,1.0,1955.0,0.0,-1.0,0.0,1955.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,<200000
1324.0,6.0,1324.0,1088.0,440.0,0.0,8658.0,1.0,1965.0,1.0,1965.0,0.0,1965.0,6.0,643.0,2.0,138.0,2.0,445.0,101.0,<200000
1328.0,5.0,1328.0,1350.0,308.0,0.0,16905.0,1.0,1959.0,1.0,1959.0,0.0,1959.0,5.0,967.0,1.0,104.0,1.0,383.0,0.0,<200000
884.0,5.0,884.0,840.0,504.0,0.0,9180.0,1.0,1983.0,0.0,1983.0,0.0,1983.0,5.0,747.0,2.0,0.0,1.0,0.0,0.0,<200000
938.0,5.0,938.0,938.0,308.0,0.0,9200.0,1.0,1975.0,1.0,1977.0,0.0,1980.0,5.0,280.0,1.0,0.0,1.0,167.0,0.0,<200000
1150.0,5.0,1150.0,1150.0,300.0,0.0,7945.0,1.0,1959.0,1.0,1959.0,0.0,1959.0,6.0,179.0,1.0,0.0,1.0,465.0,0.0,<200000
1752.0,9.0,1752.0,1752.0,576.0,0.0,7658.0,0.0,2005.0,0.0,2005.0,0.0,2005.0,6.0,456.0,2.0,82.0,2.0,1296.0,412.0,"[200000,400000]"
2149.0,7.0,1518.0,1434.0,670.0,631.0,12822.0,0.0,2003.0,0.0,2003.0,1.0,2003.0,6.0,1351.0,2.0,43.0,1.0,83.0,0.0,"[200000,400000]"
1656.0,8.0,1656.0,1656.0,826.0,0.0,11096.0,0.0,2006.0,0.0,2006.0,1.0,2006.0,7.0,24.0,3.0,146.0,2.0,1632.0,0.0,"[200000,400000]"
1452.0,4.0,736.0,736.0,0.0,716.0,4456.0,1.0,1920.0,1.0,-1.0,0.0,2008.0,8.0,0.0,0.0,0.0,2.0,736.0,0.0,<200000
955.0,5.0,955.0,955.0,386.0,0.0,7742.0,1.0,1966.0,1.0,1966.0,0.0,1966.0,6.0,763.0,1.0,0.0,1.0,192.0,0.0,<200000
1470.0,6.0,794.0,794.0,388.0,676.0,13869.0,1.0,1997.0,1.0,1997.0,0.0,1997.0,6.0,182.0,2.0,75.0,2.0,612.0,0.0,<200000
1176.0,6.0,816.0,816.0,528.0,0.0,6240.0,1.0,1934.0,1.0,1985.0,0.0,1950.0,6.0,0.0,2.0,0.0,1.0,816.0,0.0,<200000
816.0,5.0,816.0,816.0,516.0,0.0,8472.0,0.0,1963.0,1.0,1963.0,0.0,1963.0,5.0,104.0,2.0,0.0,1.0,0.0,0.0,<200000
1842.0,9.0,1842.0,1842.0,894.0,0.0,50271.0,0.0,1981.0,0.0,1981.0,1.0,1987.0,5.0,1810.0,3.0,72.0,0.0,32.0,0.0,"[200000,400000]"
1360.0,5.0,1360.0,384.0,572.0,0.0,7134.0,1.0,1955.0,1.0,1962.0,0.0,1955.0,6.0,384.0,2.0,50.0,1.0,0.0,0.0,<200000
1425.0,6.0,1425.0,1425.0,576.0,0.0,10175.0,1.0,1964.0,1.0,1964.0,0.0,1964.0,7.0,490.0,2.0,0.0,2.0,935.0,272.0,<200000
1739.0,8.0,983.0,970.0,480.0,756.0,2645.0,0.0,1999.0,0.0,1999.0,1.0,2000.0,7.0,649.0,2.0,0.0,2.0,321.0,456.0,<200000
1720.0,7.0,860.0,860.0,565.0,860.0,11645.0,0.0,2004.0,0.0,2004.0,1.0,2004.0,7.0,0.0,2.0,70.0,2.0,860.0,0.0,<200000
2945.0,10.0,1426.0,1410.0,641.0,1519.0,13682.0,0.0,2006.0,0.0,2006.0,0.0,2006.0,10.0,0.0,3.0,0.0,3.0,1410.0,1031.0,>400000
780.0,5.0,780.0,780.0,352.0,0.0,7200.0,1.0,1972.0,1.0,1973.0,0.0,1972.0,4.0,632.0,1.0,0.0,1.0,148.0,0.0,<200000
1158.0,6.0,1158.0,1158.0,576.0,0.0,13072.0,1.0,2004.0,0.0,2006.0,0.0,2004.0,5.0,941.0,2.0,50.0,1.0,217.0,0.0,<200000
1111.0,5.0,581.0,530.0,288.0,530.0,7200.0,1.0,1920.0,0.0,1935.0,0.0,1996.0,6.0,0.0,1.0,0.0,1.0,530.0,0.0,<200000
1370.0,8.0,1370.0,1370.0,484.0,0.0,6442.0,0.0,2006.0,0.0,2006.0,1.0,2006.0,6.0,24.0,2.0,49.0,2.0,1346.0,178.0,"[200000,400000]"
1710.0,7.0,902.0,576.0,480.0,808.0,10300.0,1.0,1921.0,1.0,1990.0,0.0,1950.0,9.0,0.0,2.0,11.0,2.0,576.0,0.0,<200000
2034.0,7.0,1057.0,1057.0,645.0,977.0,9375.0,1.0,1997.0,0.0,1998.0,0.0,1998.0,8.0,739.0,2.0,36.0,2.0,318.0,573.0,"[200000,400000]"
2473.0,8.0,1143.0,1143.0,852.0,1330.0,9591.0,0.0,2004.0,0.0,2004.0,1.0,2005.0,9.0,0.0,3.0,151.0,2.0,1143.0,344.0,"[200000,400000]"
2207.0,7.0,2207.0,1947.0,576.0,0.0,19900.0,1.0,1970.0,1.0,1970.0,0.0,1989.0,7.0,912.0,2.0,0.0,2.0,1035.0,287.0,<200000
1479.0,7.0,1479.0,1453.0,558.0,0.0,10665.0,0.0,2003.0,0.0,2003.0,1.0,2003.0,7.0,1013.0,2.0,29.0,2.0,440.0,167.0,"[200000,400000]"
747.0,4.0,747.0,747.0,220.0,0.0,4608.0,1.0,1945.0,1.0,1945.0,0.0,1950.0,4.0,0.0,1.0,0.0,1.0,747.0,0.0,<200000
2287.0,7.0,1304.0,1304.0,667.0,983.0,15593.0,0.0,1953.0,1.0,1953.0,1.0,1953.0,7.0,603.0,2.0,21.0,2.0,701.0,0.0,"[200000,400000]"
2223.0,7.0,2223.0,2223.0,516.0,0.0,13651.0,1.0,1973.0,1.0,1973.0,0.0,1973.0,8.0,1880.0,2.0,0.0,2.0,343.0,1115.0,"[200000,400000]"
845.0,4.0,845.0,845.0,360.0,0.0,7599.0,1.0,1982.0,1.0,1987.0,0.0,2006.0,4.0,565.0,2.0,0.0,1.0,280.0,0.0,<200000
1086.0,5.0,1086.0,1086.0,490.0,0.0,10200.0,1.0,1954.0,1.0,1989.0,0.0,2003.0,6.0,320.0,2.0,0.0,1.0,404.0,104.0,<200000
1605.0,3.0,840.0,840.0,379.0,765.0,5790.0,0.0,1915.0,1.0,1915.0,1.0,1950.0,8.0,0.0,1.0,0.0,2.0,840.0,0.0,<200000
988.0,4.0,526.0,462.0,297.0,462.0,1596.0,1.0,1973.0,1.0,1973.0,0.0,1973.0,5.0,462.0,1.0,101.0,1.0,0.0,0.0,<200000
952.0,4.0,952.0,952.0,283.0,0.0,8475.0,1.0,1956.0,1.0,1956.0,0.0,1956.0,4.0,228.0,1.0,0.0,1.0,724.0,0.0,<200000
1285.0,5.0,1072.0,672.0,240.0,213.0,8635.0,1.0,1948.0,1.0,1948.0,0.0,2001.0,6.0,336.0,1.0,0.0,1.0,295.0,0.0,<200000
