OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,BsmtFinSF1,1stFlrSF,GarageCars,GarageArea,LotArea,YearBuilt,TotRmsAbvGrd,YearRemodAdd,GarageYrBlt,LotFrontage,FullBath,BsmtUnfSF,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond
8,1955,1080,872,63,1082,2,1012,10627,2004,8,2005,2004.7966935354068,85.33884410765538,2,1017,162,50,14.231452521525796,5
8,1955,1080,873,72,1082,2,1007,10636,2004,8,2005,2004.7652140351065,85.39130994148931,2,1007,163,50,16.43501754255084,5
7,1535,1153,369,846,1166,2,587,7203,2007,6,2007,2007.204235205557,57.63388164445614,2,307,182,66,105.35153460732161,5
7,1765,969,768,828,996,2,628,8245,2008,6,2008,2008.5067763876086,68.05421110086856,2,140,171,96,28.93578526029729,5
7,1981,1084,882,697,1099,2,626,10696,2003,7,2003,2003.1892855653068,84.05357217346567,2,386,120,55,126.75001042851927,5
7,1965,1103,861,239,1103,2,794,9942,2005,8,2005,2005.0,77.97800117532111,2,864,47,48,0.0,5
8,1986,1984,0,0,1986,3,1306,12435,2007,7,2008,2008.4833040112724,96.10544804133211,2,1984,29,81,296.355008210418,5
7,1994,1516,477,110,1516,2,1034,12628,2006,8,2007,2006.5014241796819,98.99943032812726,2,1405,0,112,153.08715979652857,5
8,1618,1210,407,458,1210,2,780,8270,2005,7,2006,2005.531593739196,65.33103164974358,2,751,177,43,93.56049809851702,5
7,1720,1194,525,543,1194,2,635,8345,2005,7,2005,2005.3871571111022,64.54675800024404,2,651,74,44,68.13965155396482,5
6,2670,1435,1171,454,1498,2,542,10743,1932,8,1957,1932.0521255845551,65.7391074212167,2,981,0,488,0.0,6
7,2130,1064,1054,103,1075,2,731,11857,2002,8,2003,2002.932923655689,46.11264461228927,2,960,0,63,0.0,5
8,1809,1802,0,36,1809,3,1089,13159,2006,8,2007,2007.2853846854136,108.28769188751822,2,1766,0,72,249.98923305684525,5
8,1978,1976,0,9,1978,3,1308,12828,2007,8,2008,2008.5315615102686,100.8106309383885,2,1966,0,85,290.6976760021071,5
8,1988,1066,896,932,1092,2,586,11366,2002,7,2002,2002.0064962520325,89.99566916531158,2,134,198,59,210.3378051056967,5
6,2585,1395,1128,605,1457,2,536,10678,1941,7,1963,1941.073723972254,67.70989901423923,2,789,51,421,53.969293099674644,6
8,1834,1429,389,404,1445,2,768,11241,2004,7,2004,2004.2650083123522,88.30124376573579,2,1025,182,48,232.6500831235228,5
8,1909,1253,634,658,1274,2,680,11302,2003,7,2003,2003.172249711002,89.12081271674856,2,594,190,53,221.72249711001928,5
